Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_1	0.10095566474918519	0.0
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_2	0.0	0.0
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_1	0.0	0.0
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_2	0.0	0.0
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_1	2.193662729045702	0.5895011605229397
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_2	1.8165113123178571	0.338605741066198
EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_1	0.4118014999302439	2.5654319750149126
EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_2	0.347493147410403	1.9721177429683836
EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_1	0.18956224585007878	1.7104547841005038
EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_2	0.17322659021848083	1.5731934613037273
EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_1	0.21873330866872745	2.557007795795026
EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_2	0.19745322560405623	1.8551292858598716
Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_1	1.114365416314323	0.2345996159494046
Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_2	0.9252956422626288	0.22219134247322447
Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_1	0.11897644775910443	0.0
Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_2	0.10392830108119694	0.0
Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_1	1.8959445502171453	0.33392498170188833
Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_2	1.5800020588910724	0.1068813343424162
