Sample	Unique Reads	Duplicate Reads
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_1	5481910.0	14977566.0
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_2	7095318.0	13364158.0
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_1	6905265.0	17184052.0
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_2	9507850.0	14581467.0
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_1	4180662.0	16047288.0
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_2	5507045.0	14720905.0
EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_1	3180421.0	16552630.0
EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_2	4606221.0	15126830.0
EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_1	4072721.0	21276736.0
EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_2	5682801.0	19666656.0
EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_1	2846200.0	17196015.0
EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_2	4339710.0	15702505.0
Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_1	5696957.0	14604014.0
Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_2	7478541.0	12822430.0
Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_1	6322862.0	16676648.0
Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_2	8547716.0	14451794.0
Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_1	4806523.0	17292752.0
Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_2	6494945.0	15604330.0
