Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_1	73.20601449661336	48.0	150.0	27.27272727272727	20459476.0
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_2	65.32014007331304	48.0	150.0	27.27272727272727	20459476.0
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_1	71.33474196842022	48.0	150.0	27.27272727272727	24089317.0
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_2	60.53084544282493	48.0	150.0	27.27272727272727	24089317.0
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_1	79.3322522867905	50.0	150.0	27.27272727272727	20227950.0
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_2	72.77507584911018	50.0	150.0	27.27272727272727	20227950.0
EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_1	83.88277182196144	52.0	150.0	27.27272727272727	19733051.0
EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_2	76.65733353220472	52.0	150.0	27.27272727272727	19733051.0
EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_1	83.93369661025416	51.0	150.0	36.36363636363637	25349457.0
EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_2	77.58216073395056	51.0	150.0	36.36363636363637	25349457.0
EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_1	85.7989768457824	53.0	150.0	27.27272727272727	20042215.0
EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_2	78.34715470668176	53.0	150.0	27.27272727272727	20042215.0
Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_1	71.93751589538853	47.0	150.0	27.27272727272727	20300971.0
Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_2	63.16166064286497	47.0	150.0	18.181818181818183	20300971.0
Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_1	72.50871206616172	47.0	150.0	27.27272727272727	22999510.0
Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_2	62.83522619387604	47.0	150.0	27.27272727272727	22999510.0
Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_1	78.25031392997465	49.0	150.0	36.36363636363637	22099275.0
Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_2	70.61014860779181	50.0	150.0	27.27272727272727	22099275.0
