Module	Section	Sample Name	Source
FastQC	all_sections	Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_1	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_1_fastqc.zip
FastQC	all_sections	Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_2	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_2_fastqc.zip
FastQC	all_sections	Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_1	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_1_fastqc.zip
FastQC	all_sections	Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_2	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_2_fastqc.zip
FastQC	all_sections	Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_1	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_1_fastqc.zip
FastQC	all_sections	Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_2	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_2_fastqc.zip
FastQC	all_sections	EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_1	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_1_fastqc.zip
FastQC	all_sections	EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_2	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_2_fastqc.zip
FastQC	all_sections	EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_1	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_1_fastqc.zip
FastQC	all_sections	EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_2	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_2_fastqc.zip
FastQC	all_sections	EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_1	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_1_fastqc.zip
FastQC	all_sections	EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_2	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_2_fastqc.zip
FastQC	all_sections	Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_1	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_1_fastqc.zip
FastQC	all_sections	Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_2	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_2_fastqc.zip
FastQC	all_sections	Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_1	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_1_fastqc.zip
FastQC	all_sections	Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_2	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_2_fastqc.zip
FastQC	all_sections	Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_1	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_1_fastqc.zip
FastQC	all_sections	Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_2	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/rawreads/Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_2_fastqc.zip
