Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Ch14_1_R1_p	0.0	0.0
Ch14_1_R2_p	0.0	0.0
Ch14_2_R1_p	0.0	0.0
Ch14_2_R2_p	0.0	0.0
Ch14_3_R1_p	0.13517732885966685	0.4811083298615644
Ch14_3_R2_p	0.12528099560510422	0.4475276926109697
EP08_1_R1_p	0.22280299486651364	2.5014965410676786
EP08_1_R2_p	0.20677014361271173	2.0523695906253865
EP08_2_R1_p	0.19172698826902718	1.7378337185952275
EP08_2_R2_p	0.17914832277949444	1.633799643117889
EP08_3_R1_p	0.22166117957075487	2.701834096785996
EP08_3_R2_p	0.20495546246428317	2.0343880038968876
Se17_1_R1_p	0.13084600766412854	0.0
Se17_1_R2_p	0.11859534980484589	0.0
Se17_2_R1_p	0.0	0.0
Se17_2_R2_p	0.0	0.0
Se17_3_R1_p	0.12229549549357854	0.3267580503383135
Se17_3_R2_p	0.11397288298440664	0.20653232715962486
