Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
Ch14_1_R1_p	83.0	49.0	14.5	9.5	9.5	14.0	12.5	15.5	24.0	38.5	58.5	88.5	157.0	268.5	445.5	841.0	1629.5	2820.0	4805.5	7992.0	12539.5	18972.0	28406.0	41391.0	60310.5	81223.0	101023.0	119741.0	147345.0	179864.0	197408.5	212960.5	216022.5	209800.5	223972.5	234053.5	244522.5	278142.0	314373.0	354155.5	389848.5	430229.5	469871.0	544823.5	680708.5	776357.5	845122.0	917618.0	965712.0	959551.0	908303.0	870865.0	836817.5	793562.5	740403.5	670773.0	586075.5	477174.5	416641.5	400205.5	339454.5	283799.0	247426.5	190922.5	142289.5	161889.0	228818.0	236977.0	195483.0	200737.5	186802.0	129954.5	89812.0	72858.0	52283.5	15270.5	1409.0	717.5	469.5	258.0	192.0	137.0	108.0	80.5	46.0	33.0	28.0	22.5	13.0	4.0	3.5	4.0	6.5	7.5	3.5	3.5	8.5	10.0	11.5	21.5	40.0
Ch14_1_R2_p	99.0	66.0	24.0	14.5	16.5	17.0	23.5	35.5	55.0	82.5	121.0	187.0	272.5	410.5	677.0	1170.5	1977.0	3282.5	5482.5	8925.5	13734.5	20373.5	30185.0	43564.0	62898.5	84567.5	104977.0	124323.0	151946.0	185065.5	204210.5	220311.0	224517.5	218254.0	230630.5	242997.5	256658.5	289910.0	325834.5	366776.0	405619.5	447984.5	489795.5	565700.5	696855.5	789435.5	860074.5	928542.5	965735.5	963915.5	924496.5	890170.0	849333.5	803929.0	752314.5	677685.5	593526.5	488444.0	425986.0	402662.0	343874.5	292245.0	255402.5	201339.0	154598.0	169893.5	230121.0	237889.0	201337.0	205700.5	189560.0	134202.0	93788.5	75197.0	54294.0	18531.5	4297.5	2532.5	1700.0	1153.5	852.5	638.5	469.0	327.5	228.5	182.0	138.5	92.5	50.0	24.0	19.5	18.0	17.5	15.0	10.0	10.0	18.5	24.0	31.0	63.0	278.0
Ch14_2_R1_p	349.0	205.0	50.5	42.0	43.0	40.5	42.0	46.0	51.0	66.5	88.0	130.0	221.0	371.5	596.5	1068.5	2034.5	3700.0	6359.5	10170.0	15660.0	23162.5	33192.5	49680.0	72149.5	101973.5	124213.0	141561.0	175053.0	221264.0	245880.0	263440.0	273719.0	264564.5	284305.5	299344.5	313324.0	362199.5	409735.5	457784.5	511422.0	564820.5	608776.0	691494.0	842917.5	948943.0	1012923.0	1079245.5	1131676.5	1125603.5	1074508.5	1040232.5	1003239.0	940265.5	847809.5	762085.0	684668.5	581416.0	503678.0	446526.5	363177.5	294410.5	243763.5	191366.0	146622.5	154705.5	197423.5	197994.0	165008.0	166846.0	155263.0	107271.0	71561.0	57200.0	40711.0	11711.0	1379.0	755.5	458.0	293.5	218.0	167.0	123.5	77.5	39.5	30.5	28.0	21.5	11.0	5.5	5.0	4.0	4.5	3.0	2.0	3.0	4.5	10.5	15.5	27.0	59.5
Ch14_2_R2_p	414.0	263.0	98.0	77.0	68.5	69.5	85.5	114.0	142.0	185.0	248.5	311.5	410.0	638.0	1009.5	1601.0	2666.0	4458.0	7295.0	11391.0	17419.0	25489.0	35698.0	52720.5	75886.0	105794.5	129164.5	147895.0	181697.5	227540.5	253366.0	272230.5	283700.5	276264.5	294636.0	311093.5	329273.0	378355.5	426429.0	474441.0	530755.0	588301.5	633984.5	717381.0	862292.5	965686.0	1031117.0	1090566.5	1132751.5	1134805.5	1096441.5	1061753.5	1016124.0	954625.0	868035.0	775508.0	694012.5	592404.0	513935.5	454131.0	374142.5	307985.5	257373.5	205077.0	160675.0	164825.5	200674.0	200132.0	171103.0	172208.0	158064.0	111223.0	76205.5	60527.0	43244.0	15002.0	4163.0	2504.5	1680.0	1242.5	944.5	662.5	452.0	321.0	235.0	179.0	138.0	104.5	67.5	38.0	27.5	19.0	16.0	15.5	15.0	16.0	19.5	24.0	33.0	77.5	358.5
Ch14_3_R1_p	348.0	201.5	48.5	32.5	22.5	24.5	27.5	29.0	40.0	62.5	90.0	136.5	202.5	315.0	568.5	1045.0	1860.5	3226.5	5487.0	8587.0	12969.0	18982.5	27349.0	39715.0	57335.0	76682.5	93572.0	108542.0	132710.5	161134.0	174180.5	183112.0	181932.5	172973.5	179680.0	185018.5	190161.5	210122.0	233918.0	270018.0	301869.0	330931.0	364885.0	438159.5	573795.0	670511.5	757477.0	873547.0	963555.5	961044.5	884751.0	845567.5	821570.0	767311.0	707159.5	646971.5	556711.0	442118.5	404448.5	411028.5	357059.5	309303.0	281301.0	222657.5	172332.5	215580.5	314444.0	324395.0	270247.5	285233.5	271635.5	192557.0	134101.0	109818.5	77681.5	21968.5	1820.0	855.0	541.0	352.5	268.0	193.5	142.5	93.5	57.0	44.0	37.0	25.5	14.5	9.0	5.0	2.0	3.5	4.0	2.0	2.0	4.5	6.5	11.0	30.0	54.0
Ch14_3_R2_p	381.0	235.0	69.5	44.0	39.0	41.0	51.5	65.5	77.5	107.0	143.5	208.0	301.5	457.5	740.0	1249.0	2152.0	3693.0	5983.0	9173.5	13680.0	19891.0	28840.5	41604.0	59185.0	78634.5	96161.5	112347.5	136425.0	164797.5	178276.5	188028.5	187689.5	178303.0	184294.0	190136.0	197123.0	218172.5	243461.0	277332.0	310087.5	343665.0	379851.5	454678.0	586149.5	683236.5	774813.0	880242.5	950957.0	959311.5	904615.0	870431.0	832945.5	778581.5	727420.0	658894.0	569024.5	459450.5	418677.0	417380.5	366280.5	322381.0	292833.5	235511.5	187378.0	225157.5	314762.5	324276.0	276697.0	290557.0	274023.0	197611.0	140050.5	112723.0	79612.0	26156.5	5636.5	3217.5	2175.5	1607.0	1268.5	960.0	692.0	478.0	344.5	281.0	214.0	136.5	74.0	38.5	25.5	13.5	10.5	10.0	8.0	9.0	11.0	16.5	30.0	61.5	283.5
EP08_1_R1_p	165.0	100.5	29.5	22.5	16.0	10.0	12.0	22.0	32.0	37.0	49.5	72.5	115.0	194.5	328.0	571.5	1081.5	1963.0	3317.5	5317.5	7977.0	11730.5	16552.0	24373.5	35286.5	49777.5	62385.0	71082.0	86171.5	108705.0	120323.0	127036.5	129053.5	123961.5	130991.5	134898.0	140366.0	161020.0	186941.5	220797.0	245716.0	270981.5	298206.5	359484.5	473072.0	562513.0	670814.5	806151.0	900436.5	914425.5	849949.0	808099.5	765562.5	716202.5	696956.5	645830.0	548666.5	426437.0	410974.5	456323.5	414198.5	373928.0	357365.5	296976.5	237295.5	312130.0	481114.0	511739.0	439185.5	475509.0	443531.0	308508.5	210671.5	170971.5	126916.5	35948.5	2801.5	1116.5	682.5	466.0	373.0	287.5	209.5	142.0	91.5	70.0	56.0	34.0	14.5	7.5	5.5	3.5	1.5	0.5	0.0	2.0	5.5	8.5	11.0	25.5	48.0
EP08_1_R2_p	145.0	97.5	42.5	27.0	20.0	23.5	31.5	42.0	52.5	66.5	85.5	126.5	186.5	280.0	441.5	758.0	1250.5	2134.5	3565.0	5548.0	8403.0	12306.0	17344.5	25373.0	36512.5	51261.0	64294.5	73319.5	88421.5	111575.5	123399.5	130215.0	133381.0	128114.5	134196.5	139415.0	146709.0	167866.0	194344.5	227003.5	254498.0	281968.0	311156.0	375422.5	486300.0	575745.0	685027.0	812614.0	892615.5	914016.5	868726.5	831472.0	780942.5	731077.5	713568.5	654491.5	560413.5	447942.0	426389.5	457233.5	418191.5	385276.5	366642.5	308011.5	253279.0	322430.5	478744.0	508318.5	447820.0	484749.0	450083.0	317683.0	219797.0	177127.0	131505.5	43073.5	8604.0	4868.0	3427.0	2525.5	1956.0	1468.0	1077.5	740.5	514.0	407.0	302.0	197.5	109.0	54.5	35.5	20.5	12.5	11.5	13.5	17.0	17.5	18.5	26.0	56.5	246.0
EP08_2_R1_p	131.0	75.5	18.0	19.5	17.5	13.5	19.5	24.5	28.5	42.5	65.0	107.5	155.5	221.5	391.5	756.5	1346.0	2292.0	3835.5	6317.0	10042.0	15089.5	21335.0	32111.0	48298.0	71126.0	89428.0	100927.5	124287.5	161082.5	177822.0	187697.0	190423.5	179701.5	189359.5	192772.5	197911.5	227250.5	264738.0	312359.5	347499.5	379466.5	412242.0	498078.5	658282.5	785836.5	922350.0	1076318.0	1179689.5	1184836.0	1099176.5	1046721.0	985196.0	924847.5	906482.0	837829.5	710526.0	551026.0	521706.5	573467.0	515030.5	461666.5	442106.0	366018.5	289810.0	368934.5	558943.0	587552.0	498087.5	538327.0	505804.5	350718.5	238568.5	194779.5	143992.0	41005.5	3123.0	1271.0	775.0	522.5	424.0	345.5	251.0	156.0	98.0	77.5	65.5	42.0	15.5	3.0	3.0	2.0	1.0	1.0	2.0	3.5	5.5	9.5	15.0	31.0	52.0
