Sample	Unique Reads	Duplicate Reads
Ch14_1_R1_p	5138514.0	14456798.0
Ch14_1_R2_p	6340024.0	13255288.0
Ch14_2_R1_p	6393147.0	16540714.0
Ch14_2_R2_p	8344354.0	14589507.0
Ch14_3_R1_p	3833571.0	15001688.0
Ch14_3_R2_p	4852609.0	13982650.0
EP08_1_R1_p	2916717.0	15913371.0
EP08_1_R2_p	3856509.0	14973579.0
EP08_2_R1_p	3727671.0	20591284.0
EP08_2_R2_p	4984593.0	19334362.0
EP08_3_R1_p	2613319.0	16553772.0
EP08_3_R2_p	3603905.0	15563186.0
Se17_1_R1_p	5326403.0	13823589.0
Se17_1_R2_p	6625805.0	12524187.0
Se17_2_R1_p	5932152.0	16100107.0
Se17_2_R2_p	7601872.0	14430387.0
Se17_3_R1_p	4467638.0	16210965.0
Se17_3_R2_p	5632487.0	15046116.0
