Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Ch14_1_R1_p	73.77682265025751	48.0	138.4075038458178	18.181818181818183	19595312.0
Ch14_1_R2_p	67.64520098246527	48.0	134.71797494216983	18.181818181818183	19595312.0
Ch14_2_R1_p	72.12355053229894	47.0	138.14603424168308	18.181818181818183	22933861.0
Ch14_2_R2_p	63.615574254989276	47.0	134.00765496921778	18.181818181818183	22933861.0
Ch14_3_R1_p	79.64684073606452	50.0	137.13818551685432	9.090909090909092	18835259.0
Ch14_3_R2_p	74.23657321969117	50.0	133.4760799413483	9.090909090909092	18835259.0
EP08_1_R1_p	84.5103399890157	52.0	137.78693710831303	27.27272727272727	18830088.0
EP08_1_R2_p	79.51943468444892	52.0	134.1853712526463	18.181818181818183	18830088.0
EP08_2_R1_p	84.67174929131274	51.0	137.63152216038887	27.27272727272727	24318955.0
EP08_2_R2_p	79.50326297422333	51.0	133.94212070378848	27.27272727272727	24318955.0
EP08_3_R1_p	86.36559787761226	53.0	138.99992638423848	18.181818181818183	19167091.0
EP08_3_R2_p	81.19743720365624	53.0	135.0136895056219	18.181818181818183	19167091.0
Se17_1_R1_p	72.18587501261942	47.0	137.5457711418365	18.181818181818183	19149992.0
Se17_1_R2_p	65.40048623700616	47.0	133.84416082262592	18.181818181818183	19149992.0
Se17_2_R1_p	73.07515533335594	47.0	136.27458800298234	18.181818181818183	22032259.0
Se17_2_R2_p	65.49663336499461	47.0	132.70718672107114	18.181818181818183	22032259.0
Se17_3_R1_p	78.39487716150646	49.0	137.62605268837552	18.181818181818183	20678603.0
Se17_3_R2_p	72.76176377402261	49.0	133.91549762815217	18.181818181818183	20678603.0
