Module	Section	Sample Name	Source
FastQC	all_sections	Ch14_1_R1_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Ch14_1_R1_p_fastqc.zip
FastQC	all_sections	Ch14_1_R2_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Ch14_1_R2_p_fastqc.zip
FastQC	all_sections	Ch14_2_R1_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Ch14_2_R1_p_fastqc.zip
FastQC	all_sections	Ch14_2_R2_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Ch14_2_R2_p_fastqc.zip
FastQC	all_sections	Ch14_3_R1_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Ch14_3_R1_p_fastqc.zip
FastQC	all_sections	Ch14_3_R2_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Ch14_3_R2_p_fastqc.zip
FastQC	all_sections	EP08_1_R1_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/EP08_1_R1_p_fastqc.zip
FastQC	all_sections	EP08_1_R2_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/EP08_1_R2_p_fastqc.zip
FastQC	all_sections	EP08_2_R1_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/EP08_2_R1_p_fastqc.zip
FastQC	all_sections	EP08_2_R2_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/EP08_2_R2_p_fastqc.zip
FastQC	all_sections	EP08_3_R1_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/EP08_3_R1_p_fastqc.zip
FastQC	all_sections	EP08_3_R2_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/EP08_3_R2_p_fastqc.zip
FastQC	all_sections	Se17_1_R1_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Se17_1_R1_p_fastqc.zip
FastQC	all_sections	Se17_1_R2_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Se17_1_R2_p_fastqc.zip
FastQC	all_sections	Se17_2_R1_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Se17_2_R1_p_fastqc.zip
FastQC	all_sections	Se17_2_R2_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Se17_2_R2_p_fastqc.zip
FastQC	all_sections	Se17_3_R1_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Se17_3_R1_p_fastqc.zip
FastQC	all_sections	Se17_3_R2_p	/home/tripp/GENOMICA/2023_Mgigas_microplasticos/Quality_reports/trimmed_reads/Se17_3_R2_p_fastqc.zip
