##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Metabolism	Reactome	R-HSA-1430728	36	2075	1.17460336855e-08	8.88000146623e-06	COX5A|FABP1|LRP12|MIGA2|HDC|FBP1|BHMT1|DPEP1|PKR2|NCAN|COX3|BACH1|ADK2|CYC|CUBN|AGRIN|BCDO1|PLPP3|EXT2|ENPP6|PSME4|GGT1|ECSIT|PLB1|DDC|HGD|HPGDS|ROR1|CATB|GSTO1|LGMN|GCSP|FUT2|ABCA1|CHAC1|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
Metabolic pathways	KEGG PATHWAY	hsa01100	26	1433	6.7612731172e-07	0.000206084175967	COX5A|HDC|FBP1|BHMT1|DAD1|COX3|ADK2|BCDO1|PLPP3|POMP|EXT2|CATB|GGT1|PLB1|DDC|HGD|HPGDS|NPL|MGA|GSTO1|GCSP|PDE2A|MESH1|FUT2|CHAC1|COX17	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:9377%09red/hsa:10063%09red/hsa:9446%09red/hsa:2678%09red/hsa:7306%09red/hsa:3081%09red/hsa:151056%09red/hsa:1603%09red/hsa:3067%09red/hsa:635%09red/hsa:27306%09red/hsa:5138%09red/hsa:2524%09red/hsa:79094%09red/hsa:204%09red/hsa:1644%09red/hsa:80896%09red/hsa:8972%09red/hsa:4514%09red/hsa:2132%09red/hsa:53630%09red/hsa:51251%09red/hsa:374659%09red/hsa:2731%09red/hsa:8613%09red/hsa:2203%09red
Gene expression (Transcription)	Reactome	R-HSA-74160	26	1448	8.17794349075e-07	0.000206084175967	COX5A|TIP|ICE2|ATX3|COCA1|SPI1|XPO5|U2AF1|COX3|BACH1|CYC|INT1|WRN|PSME4|MDC1|NR2E1|THOC6|ROR1|TAF1B|TAF1A|AMID|TAF8|ZFP37|BAT1|CTSL2|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
RNA Polymerase II Transcription	Reactome	R-HSA-73857	23	1316	5.64472343978e-06	0.00106685273012	COX5A|TIP|ICE2|ATX3|COCA1|SPI1|U2AF1|COX3|BACH1|CYC|INT1|WRN|PSME4|MDC1|NR2E1|THOC6|ROR1|AMID|TAF8|ZFP37|BAT1|CTSL2|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Immune System	Reactome	R-HSA-168256	28	2096	6.76835973759e-05	0.0085503141507	DTX3L|DSRAD|LAT2|PRKDC|NEP|TBK1|UBE3C|COTL1|NPC2|PDCD4|PSME4|ECSIT|HMHA1|ROR1|MGA|GSTO1|LGMN|FCER2|FBX11|DCAF1|TLR1|PTPRA|CTSL2|TIE2|TRIM3|TRIM2|ALS|BCAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Signal Transduction	Reactome	R-HSA-162582	33	2689	7.41321805769e-05	0.0085503141507	OBSCN|RYK|WLS|TIP|CCKAR|LATS1|PDE2A|PKR2|FMNL3|ESRP1|CLIP3|AGRIN|BCDO1|LRP12|LAMA3|SRF|FNTA|HSPB1|PSME4|TRRAP|NR2E1|PLB1|HMHA1|ZNRF3|FCER2|XIAP|DRD1|ADRB1|PTPRA|TIE2|HLF|BCAP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	10	359	7.91695754695e-05	0.0085503141507	COCA1|COX5A|WRN|AMID|BACH1|MDC1|TIP|CYC|COX3|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989
Glutathione conjugation	Reactome	R-HSA-156590	4	36	9.29809817894e-05	0.0087867027791	GSTO1|HPGDS|GGT1|CHAC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-156590
ECM proteoglycans	Reactome	R-HSA-3000178	5	76	0.000124482847537	0.0104565591931	MATN1|COMP|AGRIN|LAMA3|NCAN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000178
Fat digestion and absorption	KEGG PATHWAY	hsa04975	4	41	0.000148112058649	0.0111972716339	PLPP3|FABP1|ABL|ABCA1	http://www.genome.jp/kegg-bin/show_pathway?hsa04975/hsa:4547%09red/hsa:19%09red/hsa:2168%09red/hsa:8613%09red
Retinoid metabolism and transport	Reactome	R-HSA-975634	4	43	0.000175671079745	0.0120733942079	AGRIN|LRP12|BCDO1|PLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975634
Metabolism of RNA	Reactome	R-HSA-8953854	13	667	0.000235867362711	0.014050236185	RRP5|DSRAD|HSPB1|U2AF1|PSME4|THOC6|BOP1|SAS10|BAT1|EST1A|XRN1|A1CF|EST1C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
Metabolism of fat-soluble vitamins	Reactome	R-HSA-6806667	4	47	0.000241604590482	0.014050236185	AGRIN|LRP12|BCDO1|PLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806667
Visual phototransduction	Reactome	R-HSA-2187338	5	100	0.000418156774008	0.0225804657964	LRP12|AGRIN|FNTA|BCDO1|PLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2187338
Glutathione metabolism	KEGG PATHWAY	hsa00480	4	56	0.000452209212528	0.0227913443114	GSTO1|HPGDS|GGT1|CHAC1	http://www.genome.jp/kegg-bin/show_pathway?hsa00480/hsa:2678%09red/hsa:9446%09red/hsa:79094%09red/hsa:27306%09red
Metabolism of lipids	Reactome	R-HSA-556833	13	728	0.000530652464987	0.0250733289706	PLPP3|MIGA2|LGMN|ENPP6|ABCA1|DPEP1|FABP1|CUBN|GGT1|PLB1|HPGDS|ROR1|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-556833
