##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Gene expression (Transcription)	Reactome	R-HSA-74160	43	1448	4.57339405466e-10	4.44991241519e-07	COX5A|TIGAR|ICE2|HTF4|CCNT2|ATX3|DAXX|COCA1|PPM1D|XPO5|U2AF1|COX3|BACH1|CYC|BRPF1|MED13|INT1|CNOT7|H2A|KMT2A|CAF1B|WRN|TIP|PSME4|MDC1|TAF5|DLL1|SPI1|NR2E1|THOC6|ROR1|TAF1B|TAF1A|CASP2|TAF2|AMID|TAF8|MET|ZFP37|CTSL2|H2B|TOP3A|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
RNA Polymerase II Transcription	Reactome	R-HSA-73857	40	1316	1.02118466603e-09	4.96806340025e-07	COX5A|TIGAR|ICE2|HTF4|CCNT2|ATX3|DAXX|COCA1|PPM1D|U2AF1|COX3|BACH1|CYC|BRPF1|MED13|INT1|CNOT7|H2A|KMT2A|CAF1B|WRN|TIP|PSME4|MDC1|DLL1|SPI1|NR2E1|THOC6|ROR1|TAF5|CASP2|TAF2|AMID|TAF8|MET|ZFP37|CTSL2|H2B|TOP3A|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	20	359	1.80347388921e-09	5.84926698066e-07	DAXX|TAF5|CASP2|TAF2|CAF1B|WRN|AMID|BACH1|MDC1|TIGAR|COCA1|COX5A|CYC|BRPF1|CNOT7|COX3|CCNT2|TOP3A|TIP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989
Post-translational protein modification	Reactome	R-HSA-597592	40	1412	6.95501645666e-09	1.69180775308e-06	DOLK|ALG2|BIRC3|PRKDC|TOP1|PEX13|DCTN1|ATX3|DAXX|NCOA1|ARSJ|COG3|TTL|DPM1|SUMF2|TRAF3|WRN|PSME4|MDC1|TRRAP|UBA6|HERC2|FOXL2|LMAN2|LAMC1|NFRKB|ROR1|NPL|RAB23|ARSB|H2A|TFG|FBXL7|FBX11|DCAF6|FUCT1|HLF|GBF1|GPI8|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
Generic Transcription Pathway	Reactome	R-HSA-212436	35	1193	2.81245508091e-08	5.47303758745e-06	COX5A|TIGAR|HTF4|CCNT2|ATX3|DAXX|COCA1|PPM1D|COX3|BACH1|CYC|BRPF1|MED13|CNOT7|H2A|KMT2A|CAF1B|WRN|TIP|PSME4|MDC1|DLL1|SPI1|NR2E1|ROR1|TAF5|CASP2|TAF2|AMID|MET|ZFP37|CTSL2|H2B|TOP3A|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
Metabolism of proteins	Reactome	R-HSA-392499	48	2012	3.85912683477e-08	6.25821735039e-06	DOLK|MYRIP|ALG2|BIRC3|MSRB3|PRKDC|FBXL7|PEX13|DCTN1|NEP|ATX3|DAXX|NCOA1|DMBT1|ARSJ|COG3|TTL|SRP72|DPM1|DCAF6|SUMF2|TRAF3|WRN|PSME4|MDC1|TRRAP|UBA6|HERC2|FOXL2|LMAN2|LAMC1|NFRKB|ROR1|NPL|RAB23|ARSB|H2A|TFG|GST1|TOP1|FBX11|PLC|ABCA3|FUCT1|HLF|GBF1|GPI8|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392499
Metabolism of RNA	Reactome	R-HSA-8953854	24	667	1.42462995948e-07	1.88221239006e-05	RRP5|NCS2|ERI1|DSRAD|AQR|U2AF1|CTU1|CNOT7|XRN1|WDR4|CAF1B|PSME4|LSM1|BOP1|EST1C|EST1A|THOC6|DDX49|GST1|NSUN4|DDX46|DDX52|SAS10|A1CF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
Disease	Reactome	R-HSA-1643685	31	1049	1.54755386644e-07	1.88221239006e-05	DOLK|ALG2|MSH3|MIB2|CCNT2|EXT2|COCA1|NCAN|AGRIN|FAT|ESRP1|JAG2|PLC|DPM1|TRAF3|FUCT1|PSME4|TPMT|DLL1|GGT1|RCC1|TAF5|LRP6|TAF2|ARSB|MET|TLR1|NEIL1|ABCA3|TLR4|BCAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
Metabolic pathways	KEGG PATHWAY	hsa01100	37	1433	2.50505217851e-07	2.7082397441e-05	DOLK|COX5A|ALG2|TIGAR|G6PC2|FBP1|CHDH|EXT2|COASY|ALLC|MESH1|COX3|CHIT1|ADK2|DPM1|ATPO|SERA|BCDO1|PLPP3|UMPS|SHPK|GGT1|PLB1|DDC|GALM|HGD|IAP|NPL|MGA|GSTO1|ARSB|GCSP|ACAD8|GPI8|PDE2A|TREA|FUT2	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:9377%09red/hsa:22845%09red/hsa:2678%09red/hsa:55349%09red/hsa:11181%09red/hsa:57103%09red/hsa:55821%09red/hsa:250%09red/hsa:27034%09red/hsa:539%09red/hsa:1118%09red/hsa:3081%09red/hsa:151056%09red/hsa:8813%09red/hsa:23729%09red/hsa:80347%09red/hsa:85365%09red/hsa:9446%09red/hsa:130589%09red/hsa:5138%09red/hsa:411%09red/hsa:2524%09red/hsa:26227%09red/hsa:4514%09red/hsa:204%09red/hsa:1644%09red/hsa:80896%09red/hsa:7372%09red/hsa:8972%09red/hsa:8613%09red/hsa:2132%09red/hsa:53630%09red/hsa:374659%09red/hsa:2731%09red/hsa:10026%09red/hsa:57818%09red/hsa:2203%09red
DNA Repair	Reactome	R-HSA-73894	16	331	4.72671197737e-07	4.45217446628e-05	COCA1|MDC1|CHD1L|AQR|WRN|NFRKB|BACH1|MSH3|TIP|PRKDC|MBD4|HERC2|NEIL1|TOP3A|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73894
Signal Transduction	Reactome	R-HSA-162582	55	2689	5.03329076353e-07	4.45217446628e-05	SCAI|NOP9|RYK|BUB1B|LGR5|WLS|TIP|SNAI2|LATS1|GPR54|CCNT2|PKR2|NCOA1|MET|FMNL2|FMNL3|ESRP1|MIB2|CLIP3|AGRIN|JAG2|REEP4|BCDO1|PDE2A|LRP12|LAMA3|SRF|CENPI|BIRC3|PSME4|TRRAP|DLL1|LDLR|NR2E1|PLB1|HMHA1|LRP6|LAMC1|OBSCN|LAMA|CASP2|ZNRF3|VEGFD|QRFPR|CCKAR|H4|DRD1|ADRB1|PLC|TIE2|HLF|H2B|H2A|BCAP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Metabolism	Reactome	R-HSA-1430728	46	2075	5.78709493468e-07	4.6923694762e-05	COX5A|NTCP2|LRP12|G6PC2|FBP1|DPEP1|MIGA2|SUMF2|COASY|NCOA1|NCAN|COX3|BACH1|ADK2|FAT|CYC|AGRIN|MED13|ATPO|EXT2|SERA|PKR2|BCDO1|ST1E1|PLPP3|UMPS|SHPK|ENPP6|PSME4|TPMT|LDLR|GGT1|ECSIT|PLB1|DDC|CHDH|HGD|ROR1|GSTO1|ARSB|GCSP|ACAD8|ARSJ|PLC|FUT2|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
ECM proteoglycans	Reactome	R-HSA-3000178	8	76	1.92989004327e-06	0.000144444847085	LAMA|NCAN|LRP4|COMP|AGRIN|LAMA3|PLC|LAMC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000178
Pathways in cancer	KEGG PATHWAY	hsa05200	19	530	3.03023381093e-06	0.000210601249859	TFG|COCA1|LAMA|TRAF4|VEGFD|SPI1|LAMA3|MSH3|BIRC3|CYC|DLL1|NCOA1|GSTO1|JAG2|HLF|LAMC1|LRP6|TRAF3|MET	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:2034%09red/hsa:330%09red/hsa:9618%09red/hsa:54205%09red/hsa:9446%09red/hsa:3915%09red/hsa:4233%09red/hsa:3714%09red/hsa:2277%09red/hsa:4437%09red/hsa:4040%09red/hsa:10342%09red/hsa:8648%09red/hsa:6688%09red/hsa:4436%09red/hsa:284217%09red/hsa:28514%09red/hsa:7187%09red/hsa:3909%09red
Class I MHC mediated antigen processing & presentation	Reactome	R-HSA-983169	15	370	8.34354158964e-06	0.000534836064933	DTX3L|DZIP3|HERC2|UBE3C|PSME4|MIB2|FBXL7|LTN1|UBA6|DCAF1|TLR1|FAT|TLR4|CTSL2|FBX11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983169
