Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink	Enrich_ratio	Cluster	Cluster_size	Cluster_P-Value_median
Gene expression (Transcription)	Reactome	R-HSA-74160	43	1448	4.57339405466e-10	4.44991241519e-07	COX5A|TIGAR|ICE2|HTF4|CCNT2|ATX3|DAXX|COCA1|PPM1D|XPO5|U2AF1|COX3|BACH1|CYC|BRPF1|MED13|INT1|CNOT7|H2A|KMT2A|CAF1B|WRN|TIP|PSME4|MDC1|TAF5|DLL1|SPI1|NR2E1|THOC6|ROR1|TAF1B|TAF1A|CASP2|TAF2|AMID|TAF8|MET|ZFP37|CTSL2|H2B|TOP3A|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160	0.0296961325966851	4	32	0.0005077985770585
RNA Polymerase II Transcription	Reactome	R-HSA-73857	40	1316	1.02118466603e-09	4.96806340025e-07	COX5A|TIGAR|ICE2|HTF4|CCNT2|ATX3|DAXX|COCA1|PPM1D|U2AF1|COX3|BACH1|CYC|BRPF1|MED13|INT1|CNOT7|H2A|KMT2A|CAF1B|WRN|TIP|PSME4|MDC1|DLL1|SPI1|NR2E1|THOC6|ROR1|TAF5|CASP2|TAF2|AMID|TAF8|MET|ZFP37|CTSL2|H2B|TOP3A|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857	0.0303951367781155	4	32	0.0005077985770585
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	20	359	1.80347388921e-09	5.84926698066e-07	DAXX|TAF5|CASP2|TAF2|CAF1B|WRN|AMID|BACH1|MDC1|TIGAR|COCA1|COX5A|CYC|BRPF1|CNOT7|COX3|CCNT2|TOP3A|TIP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989	0.0557103064066852	4	32	0.0005077985770585
Post-translational protein modification	Reactome	R-HSA-597592	40	1412	6.95501645666e-09	1.69180775308e-06	DOLK|ALG2|BIRC3|PRKDC|TOP1|PEX13|DCTN1|ATX3|DAXX|NCOA1|ARSJ|COG3|TTL|DPM1|SUMF2|TRAF3|WRN|PSME4|MDC1|TRRAP|UBA6|HERC2|FOXL2|LMAN2|LAMC1|NFRKB|ROR1|NPL|RAB23|ARSB|H2A|TFG|FBXL7|FBX11|DCAF6|FUCT1|HLF|GBF1|GPI8|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592	0.028328611898017	1	2	2.277314240218e-08
Generic Transcription Pathway	Reactome	R-HSA-212436	35	1193	2.81245508091e-08	5.47303758745e-06	COX5A|TIGAR|HTF4|CCNT2|ATX3|DAXX|COCA1|PPM1D|COX3|BACH1|CYC|BRPF1|MED13|CNOT7|H2A|KMT2A|CAF1B|WRN|TIP|PSME4|MDC1|DLL1|SPI1|NR2E1|ROR1|TAF5|CASP2|TAF2|AMID|MET|ZFP37|CTSL2|H2B|TOP3A|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436	0.0293378038558256	4	32	0.0005077985770585
Metabolism of proteins	Reactome	R-HSA-392499	48	2012	3.85912683477e-08	6.25821735039e-06	DOLK|MYRIP|ALG2|BIRC3|MSRB3|PRKDC|FBXL7|PEX13|DCTN1|NEP|ATX3|DAXX|NCOA1|DMBT1|ARSJ|COG3|TTL|SRP72|DPM1|DCAF6|SUMF2|TRAF3|WRN|PSME4|MDC1|TRRAP|UBA6|HERC2|FOXL2|LMAN2|LAMC1|NFRKB|ROR1|NPL|RAB23|ARSB|H2A|TFG|GST1|TOP1|FBX11|PLC|ABCA3|FUCT1|HLF|GBF1|GPI8|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392499	0.0238568588469185	1	2	2.277314240218e-08
Metabolism of RNA	Reactome	R-HSA-8953854	24	667	1.42462995948e-07	1.88221239006e-05	RRP5|NCS2|ERI1|DSRAD|AQR|U2AF1|CTU1|CNOT7|XRN1|WDR4|CAF1B|PSME4|LSM1|BOP1|EST1C|EST1A|THOC6|DDX49|GST1|NSUN4|DDX46|DDX52|SAS10|A1CF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854	0.0359820089955022	NA	NA	0.0155104646138
Disease	Reactome	R-HSA-1643685	31	1049	1.54755386644e-07	1.88221239006e-05	DOLK|ALG2|MSH3|MIB2|CCNT2|EXT2|COCA1|NCAN|AGRIN|FAT|ESRP1|JAG2|PLC|DPM1|TRAF3|FUCT1|PSME4|TPMT|DLL1|GGT1|RCC1|TAF5|LRP6|TAF2|ARSB|MET|TLR1|NEIL1|ABCA3|TLR4|BCAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685	0.0295519542421354	NA	NA	0.0155104646138
Metabolic pathways	KEGG PATHWAY	hsa01100	37	1433	2.50505217851e-07	2.7082397441e-05	DOLK|COX5A|ALG2|TIGAR|G6PC2|FBP1|CHDH|EXT2|COASY|ALLC|MESH1|COX3|CHIT1|ADK2|DPM1|ATPO|SERA|BCDO1|PLPP3|UMPS|SHPK|GGT1|PLB1|DDC|GALM|HGD|IAP|NPL|MGA|GSTO1|ARSB|GCSP|ACAD8|GPI8|PDE2A|TREA|FUT2	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:9377%09red/hsa:22845%09red/hsa:2678%09red/hsa:55349%09red/hsa:11181%09red/hsa:57103%09red/hsa:55821%09red/hsa:250%09red/hsa:27034%09red/hsa:539%09red/hsa:1118%09red/hsa:3081%09red/hsa:151056%09red/hsa:8813%09red/hsa:23729%09red/hsa:80347%09red/hsa:85365%09red/hsa:9446%09red/hsa:130589%09red/hsa:5138%09red/hsa:411%09red/hsa:2524%09red/hsa:26227%09red/hsa:4514%09red/hsa:204%09red/hsa:1644%09red/hsa:80896%09red/hsa:7372%09red/hsa:8972%09red/hsa:8613%09red/hsa:2132%09red/hsa:53630%09red/hsa:374659%09red/hsa:2731%09red/hsa:10026%09red/hsa:57818%09red/hsa:2203%09red	0.0258199581297976	2	2	4.146073556595e-07
DNA Repair	Reactome	R-HSA-73894	16	331	4.72671197737e-07	4.45217446628e-05	COCA1|MDC1|CHD1L|AQR|WRN|NFRKB|BACH1|MSH3|TIP|PRKDC|MBD4|HERC2|NEIL1|TOP3A|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73894	0.0483383685800604	4	32	0.0005077985770585
