##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Immune System	Reactome	R-HSA-168256	17	2096	0.000124704180999	0.0362178299127	DTX3L|NEP|TRIM2|TBK1|FCER2|UBE3C|MGA|FBX11|HMHA1|DCAF1|TLR6|ECSIT|CTSL2|TIE2|TRIM3|PRKDC|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Metabolism of proteins	Reactome	R-HSA-392499	16	2012	0.000250271611256	0.0362178299127	ATX3|SUMF2|RAB23|MYRIP|NPL|COG3|MDC1|TRRAP|FBX11|DMBT1|FOXL2|NEP|HLF|PRKDC|NFRKB|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392499
Post-translational protein modification	Reactome	R-HSA-597592	13	1412	0.000254106631892	0.0362178299127	ATX3|SUMF2|RAB23|NPL|COG3|MDC1|TRRAP|FBX11|FOXL2|HLF|PRKDC|NFRKB|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
Gene expression (Transcription)	Reactome	R-HSA-74160	13	1448	0.000322653273165	0.0362178299127	ATX3|TAF1B|XPO5|U2AF1|AMID|MDC1|TIP|TAF8|ICE2|NR2E1|CTSL2|ROR1|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
Signal Transduction	Reactome	R-HSA-162582	18	2689	0.000780476531793	0.0546460129385	OBSCN|LRP12|LAMA3|SRF|RYK|FCER2|FMNL3|HSPB1|TIP|TRRAP|DRD1|CLIP3|HMHA1|LATS1|NR2E1|TIE2|HLF|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Class I MHC mediated antigen processing & presentation	Reactome	R-HSA-983169	6	370	0.000819148500317	0.0546460129385	DTX3L|UBE3C|FBX11|DCAF1|TLR6|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983169
IRF3-mediated induction of type I IFN	Reactome	R-HSA-3270619	2	13	0.000851942295255	0.0546460129385	TBK1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3270619
Toll-like Receptor Cascades	Reactome	R-HSA-168898	4	154	0.00118412743842	0.0554232592784	TLR6|ECSIT|TBK1|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168898
Nonhomologous End-Joining (NHEJ)	Reactome	R-HSA-5693571	3	69	0.00122034189087	0.0554232592784	MDC1|TIP|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693571
STING mediated induction of host immune responses	Reactome	R-HSA-1834941	2	16	0.0012343710307	0.0554232592784	TBK1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834941
RNA Polymerase II Transcription	Reactome	R-HSA-73857	11	1316	0.00166437546888	0.0630338342249	ATX3|U2AF1|AMID|MDC1|TIP|TAF8|ICE2|NR2E1|CTSL2|ROR1|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Aflatoxin activation and detoxification	Reactome	R-HSA-5423646	2	19	0.00168464590356	0.0630338342249	GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5423646
Synthesis of Leukotrienes (LT) and Eoxins (EX)	Reactome	R-HSA-2142691	2	21	0.00202193627524	0.0698345682758	GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2142691
MicroRNA (miRNA) biogenesis	Reactome	R-HSA-203927	2	24	0.00258266502769	0.0828297569594	XPO5|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-203927
DNA Repair	Reactome	R-HSA-73894	5	331	0.00302603023949	0.0905791718355	NEIL1|MDC1|NFRKB|TIP|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73894
ESR-mediated signaling	Reactome	R-HSA-8939211	4	221	0.00424892734212	0.119235523538	TIP|AGO2|SRF|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939211
Toll Like Receptor 4 (TLR4) Cascade	Reactome	R-HSA-166016	3	128	0.0066222026594	0.163146679324	TLR6|ECSIT|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166016
Nuclear Receptor transcription pathway	Reactome	R-HSA-383280	2	40	0.00663871193814	0.163146679324	NR2E1|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-383280
Purine metabolism	KEGG PATHWAY	hsa00230	3	130	0.00690375703152	0.163146679324	MESH1|ADK2|ALLC	http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:374659%09red/hsa:55821%09red/hsa:204%09red
Signaling by Nuclear Receptors	Reactome	R-HSA-9006931	4	264	0.00781553643595	0.175458792987	TIP|AGO2|SRF|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006931
HATs acetylate histones	Reactome	R-HSA-3214847	3	142	0.00874195321038	0.183040933225	TIP|TRRAP|SGF29	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3214847
Metabolic pathways	KEGG PATHWAY	hsa01100	10	1433	0.00926136070061	0.183040933225	NPL|MGA|ALLC|EXT2|GCSP|ADK2|MESH1|GGT1|FUT2|HGD	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:2678%09red/hsa:80896%09red/hsa:8972%09red/hsa:55821%09red/hsa:2132%09red/hsa:2524%09red/hsa:374659%09red/hsa:2731%09red/hsa:3081%09red/hsa:204%09red
MAPK signaling pathway	KEGG PATHWAY	hsa04010	4	295	0.0113411119263	0.183040933225	TIE2|SRF|ECSIT|HSPB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:7010%09red/hsa:51295%09red/hsa:3315%09red/hsa:6722%09red
Innate Immune System	Reactome	R-HSA-168249	8	1043	0.0115677182508	0.183040933225	MGA|TBK1|PRKDC|TLR6|ECSIT|CTSL2|HMHA1|NEP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Antigen processing: Ubiquitination & Proteasome degradation	Reactome	R-HSA-983168	4	308	0.0130804740878	0.183040933225	DTX3L|UBE3C|DCAF1|FBX11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983168
DNA Double-Strand Break Repair	Reactome	R-HSA-5693532	3	166	0.0132072933943	0.183040933225	MDC1|TIP|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693532
Arachidonic acid metabolism	Reactome	R-HSA-2142753	2	59	0.0136154470189	0.183040933225	GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2142753
@@Disease	Reactome	R-HSA-1643685	5	1049	0.191236587848	0.305570206205	RCC1|GGT1|TLR6|NEIL1|EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
@@Arachidonic acid metabolism	KEGG PATHWAY	hsa00590	1	63	0.169554700875	0.292807925742	GGT1	http://www.genome.jp/kegg-bin/show_pathway?hsa00590/hsa:2678%09red
Assembly of collagen fibrils and other multimeric structures	Reactome	R-HSA-2022090	2	60	0.0140429520506	0.183040933225	LAMA3|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022090
SUMO E3 ligases SUMOylate target proteins	Reactome	R-HSA-3108232	3	170	0.0140563371387	0.183040933225	MDC1|FOXL2|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3108232
Cytosolic sensors of pathogen-associated DNA 	Reactome	R-HSA-1834949	2	62	0.0149152352559	0.183040933225	TBK1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834949
SUMOylation	Reactome	R-HSA-2990846	3	176	0.015386921241	0.183040933225	MDC1|FOXL2|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2990846
Signaling by WNT	Reactome	R-HSA-195721	4	329	0.0162339202204	0.183040933225	TIP|RYK|TRRAP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195721
Dopamine receptors	Reactome	R-HSA-390651	1	5	0.0172546602221	0.183040933225	DRD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390651
Tyrosine catabolism	Reactome	R-HSA-8963684	1	5	0.0172546602221	0.183040933225	HGD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963684
IRF3 mediated activation of type 1 IFN	Reactome	R-HSA-1606341	1	5	0.0172546602221	0.183040933225	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1606341
Extrinsic Pathway of Fibrin Clot Formation	Reactome	R-HSA-140834	1	5	0.0172546602221	0.183040933225	TFPI1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-140834
PTK6 Expression	Reactome	R-HSA-8849473	1	5	0.0172546602221	0.183040933225	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8849473
VLDL assembly	Reactome	R-HSA-8866423	1	5	0.0172546602221	0.183040933225	ABL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866423
Metabolism	Reactome	R-HSA-1430728	12	2075	0.0179279074831	0.183040933225	SUMF2|LRP12|EXT2|GCSP|ENPP6|ADK2|GGT1|ECSIT|HGD|DPEP1|ROR1|FUT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
p53 signaling pathway	KEGG PATHWAY	hsa04115	2	72	0.0196127645151	0.183040933225	EI24|AMID	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:84883%09red/hsa:9538%09red
Sensing of DNA Double Strand Breaks	Reactome	R-HSA-5693548	1	6	0.020101604945	0.183040933225	TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693548
RNA polymerase II transcribes snRNA genes	Reactome	R-HSA-6807505	2	74	0.0206175121246	0.183040933225	ICE2|TAF8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807505
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	4	359	0.0215069534388	0.183040933225	AMID|MDC1|TIP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989
Extra-nuclear estrogen signaling	Reactome	R-HSA-9009391	2	76	0.0216433582279	0.183040933225	SRF|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9009391
ECM proteoglycans	Reactome	R-HSA-3000178	2	76	0.0216433582279	0.183040933225	COMP|LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000178
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	Reactome	R-HSA-5693565	2	76	0.0216433582279	0.183040933225	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693565
DNA Double Strand Break Response	Reactome	R-HSA-5693606	2	77	0.0221641077573	0.183040933225	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693606
Adaptive Immune System	Reactome	R-HSA-1280218	6	748	0.022710420435	0.183040933225	DTX3L|UBE3C|FBX11|DCAF1|TLR6|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280218
Glycerophospholipid catabolism	Reactome	R-HSA-6814848	1	7	0.0229403744054	0.183040933225	ENPP6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6814848
Activation of NIMA Kinases NEK9, NEK6, NEK7	Reactome	R-HSA-2980767	1	7	0.0229403744054	0.183040933225	NEK7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980767
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	Reactome	R-HSA-5649702	1	7	0.0229403744054	0.183040933225	NEIL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5649702
Post-transcriptional silencing by small RNAs	Reactome	R-HSA-426496	1	7	0.0229403744054	0.183040933225	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-426496
Generic Transcription Pathway	Reactome	R-HSA-212436	8	1193	0.0237140047951	0.183040933225	ATX3|AMID|MDC1|TIP|NR2E1|CTSL2|ROR1|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	Reactome	R-HSA-8939242	1	8	0.0257709918722	0.183040933225	CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939242
Competing endogenous RNAs (ceRNAs) regulate PTEN translation	Reactome	R-HSA-8948700	1	8	0.0257709918722	0.183040933225	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8948700
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	3	219	0.0269484378474	0.183040933225	TIP|SRF|TRRAP	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:10524%09red/hsa:8295%09red/hsa:6722%09red
ECM-receptor interaction	KEGG PATHWAY	hsa04512	2	86	0.0270795892774	0.183040933225	COMP|LAMA3	http://www.genome.jp/kegg-bin/show_pathway?hsa04512/hsa:1311%09red/hsa:3909%09red
Regulation of mRNA stability by proteins that bind AU-rich elements	Reactome	R-HSA-450531	2	86	0.0270795892774	0.183040933225	XRN1|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450531
MAPK6/MAPK4 signaling	Reactome	R-HSA-5687128	2	88	0.0282263734865	0.183040933225	AGO2|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5687128
Small interfering RNA (siRNA) biogenesis	Reactome	R-HSA-426486	1	9	0.0285934805485	0.183040933225	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-426486
Regulation of PTEN mRNA translation	Reactome	R-HSA-8943723	1	9	0.0285934805485	0.183040933225	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943723
Chylomicron assembly	Reactome	R-HSA-8963888	1	9	0.0285934805485	0.183040933225	ABL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963888
Collagen formation	Reactome	R-HSA-1474290	2	89	0.0288069952769	0.183040933225	LAMA3|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474290
Peptide hormone metabolism	Reactome	R-HSA-2980736	2	89	0.0288069952769	0.183040933225	NEP|MYRIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980736
Interferon gamma signaling	Reactome	R-HSA-877300	2	90	0.0293923939306	0.183040933225	TRIM3|TRIM2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877300
Formation of the beta-catenin:TCF transactivating complex	Reactome	R-HSA-201722	2	91	0.0299825374313	0.183040933225	TIP|TRRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-201722
TCF dependent signaling in response to WNT	Reactome	R-HSA-201681	3	232	0.0311458334461	0.183040933225	TIP|RYK|TRRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-201681
MyD88 deficiency (TLR2/4)	Reactome	R-HSA-5602498	1	10	0.0314078635723	0.183040933225	TLR6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602498
Amoebiasis	KEGG PATHWAY	hsa05146	2	95	0.0323899245527	0.183040933225	LAMA3|HSPB1	http://www.genome.jp/kegg-bin/show_pathway?hsa05146/hsa:3315%09red/hsa:3909%09red
G2/M DNA damage checkpoint	Reactome	R-HSA-69473	2	95	0.0323899245527	0.183040933225	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69473
Toll Like Receptor TLR6:TLR2 Cascade	Reactome	R-HSA-168188	2	95	0.0323899245527	0.183040933225	TLR6|ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168188
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	Reactome	R-HSA-166058	2	95	0.0323899245527	0.183040933225	TLR6|ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166058
Hematopoietic cell lineage	KEGG PATHWAY	hsa04640	2	97	0.0336212651918	0.183040933225	NEP|FCER2	http://www.genome.jp/kegg-bin/show_pathway?hsa04640/hsa:4311%09red/hsa:2208%09red
Taurine and hypotaurine metabolism	KEGG PATHWAY	hsa00430	1	11	0.0342141640158	0.183040933225	GGT1	http://www.genome.jp/kegg-bin/show_pathway?hsa00430/hsa:2678%09red
Regulation of gene expression by Hypoxia-inducible Factor	Reactome	R-HSA-1234158	1	11	0.0342141640158	0.183040933225	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1234158
Phenylalanine and tyrosine metabolism	Reactome	R-HSA-8963691	1	11	0.0342141640158	0.183040933225	HGD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963691
