Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink	Enrich_ratio	Cluster	Cluster_size	Cluster_P-Value_median
Immune System	Reactome	R-HSA-168256	17	2096	0.000124704180999	0.0362178299127	DTX3L|NEP|TRIM2|TBK1|FCER2|UBE3C|MGA|FBX11|HMHA1|DCAF1|TLR6|ECSIT|CTSL2|TIE2|TRIM3|PRKDC|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256	0.00811068702290076	10	34	0.0318988940625
Metabolism of proteins	Reactome	R-HSA-392499	16	2012	0.000250271611256	0.0362178299127	ATX3|SUMF2|RAB23|MYRIP|NPL|COG3|MDC1|TRRAP|FBX11|DMBT1|FOXL2|NEP|HLF|PRKDC|NFRKB|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392499	0.00795228628230616	1	2	0.000252189121574
Post-translational protein modification	Reactome	R-HSA-597592	13	1412	0.000254106631892	0.0362178299127	ATX3|SUMF2|RAB23|NPL|COG3|MDC1|TRRAP|FBX11|FOXL2|HLF|PRKDC|NFRKB|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592	0.00920679886685552	1	2	0.000252189121574
Gene expression (Transcription)	Reactome	R-HSA-74160	13	1448	0.000322653273165	0.0362178299127	ATX3|TAF1B|XPO5|U2AF1|AMID|MDC1|TIP|TAF8|ICE2|NR2E1|CTSL2|ROR1|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160	0.00897790055248619	5	12	0.0208042791919
Signal Transduction	Reactome	R-HSA-162582	18	2689	0.000780476531793	0.0546460129385	OBSCN|LRP12|LAMA3|SRF|RYK|FCER2|FMNL3|HSPB1|TIP|TRRAP|DRD1|CLIP3|HMHA1|LATS1|NR2E1|TIE2|HLF|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582	0.00669393826701376	NA	NA	0.0229403744054
Class I MHC mediated antigen processing & presentation	Reactome	R-HSA-983169	6	370	0.000819148500317	0.0546460129385	DTX3L|UBE3C|FBX11|DCAF1|TLR6|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983169	0.0162162162162162	10	34	0.0318988940625
IRF3-mediated induction of type I IFN	Reactome	R-HSA-3270619	2	13	0.000851942295255	0.0546460129385	TBK1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3270619	0.153846153846154	10	34	0.0318988940625
Toll-like Receptor Cascades	Reactome	R-HSA-168898	4	154	0.00118412743842	0.0554232592784	TLR6|ECSIT|TBK1|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168898	0.025974025974026	10	34	0.0318988940625
Nonhomologous End-Joining (NHEJ)	Reactome	R-HSA-5693571	3	69	0.00122034189087	0.0554232592784	MDC1|TIP|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693571	0.0434782608695652	5	12	0.0208042791919
STING mediated induction of host immune responses	Reactome	R-HSA-1834941	2	16	0.0012343710307	0.0554232592784	TBK1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834941	0.125	10	34	0.0318988940625
