GO.ID	Term	Annotated	Significant	Expected	weightFisher	Genes	p.adj	cluster
GO:0006865	amino acid transport	252	19	11.07	0.00039	G10593,G1091,G11719,G15263,G15264,G15265,G15567,G15849,G15859,G20637,G21036,G21482,G24659,G24730,G25495,G25497,G25775,G29255,G4743	0.005766	Ep
GO:0016121	carotene catabolic process	5	3	0.22	0.00079	G17673,G5321,G5323	0.005766	Ep
GO:0090084	negative regulation of inclusion body as...	19	5	0.83	0.00112	G10079,G11580,G11586,G35308,G35310	0.005766	Ep
GO:0010754	negative regulation of cGMP-mediated sig...	12	4	0.53	0.00138	G12442,G12687,G26881,G5548	0.005766	Ep
GO:0033690	positive regulation of osteoblast prolif...	20	5	0.88	0.00144	G15849,G21249,G25702,G32776,G4743	0.005766	Ep
GO:0060336	negative regulation of type II interfero...	30	6	1.32	0.00169	G14014,G16069,G22071,G25767,G25768,G26256	0.005766	Ep
GO:2000051	negative regulation of non-canonical Wnt...	21	5	0.92	0.00182	G16272,G18782,G22284,G32902,G33437	0.005766	Ep
GO:0048245	eosinophil chemotaxis	2	2	0.09	0.00193	G15801,G1769	0.005766	Ep
GO:0071454	cellular response to anoxia	2	2	0.09	0.00193	G1767,G25257	0.005766	Ep
GO:0001188	RNA polymerase I preinitiation complex a...	2	2	0.09	0.00193	G15715,G24763	0.005766	Ep
GO:0006429	leucyl-tRNA aminoacylation	2	2	0.09	0.00193	G21550,G26154	0.005766	Ep
GO:0033135	regulation of peptidyl-serine phosphoryl...	174	7	7.64	0.00194	G15840,G16734,G21813,G270,G28692,G32416,G6796	0.005766	Ep
GO:1903672	positive regulation of sprouting angioge...	53	8	2.33	0.00205	G13472,G20382,G25183,G25702,G27257,G33259,G5193,G9218	0.005766	Ep
GO:0045931	positive regulation of mitotic cell cycl...	200	14	8.78	0.00383	G12707,G15849,G16734,G21523,G25702,G26542,G28692,G30176,G3895,G4743,G5163,G588,G6845,G978	0.008114	Ep
GO:0001702	gastrulation with mouth forming second	33	6	1.45	0.00490	G12568,G13102,G15840,G15849,G4194,G4743	0.008114	Ep
GO:0010629	negative regulation of gene expression	2139	113	93.94	0.00527	G10242,G10243,G11398,G11880,G12114,G12356,G12421,G1251,G12568,G12687,G12707,G13193,G13646,G13909,G14014,G14212,G14438,G15066,G15094,G15363,G15840,G16069,G1640,G16992,G17258,G1803,G18281,G18425,G18426,G18468,G18644,G1900,G19186,G19339,G19352,G19441,G19806,G19851,G19948,G21127,G21213,G21459,G21523,G21582,G21813,G22071,G22418,G22575,G23481,G23611,G23725,G23735,G24720,G24957,G25076,G25232,G25257,G25398,G25767,G25768,G26009,G26256,G26881,G27257,G273,G27358,G27520,G27537,G2797,G28345,G28439,G28510,G28512,G2868,G28692,G29167,G29502,G29538,G29606,G29642,G30176,G30417,G30527,G30761,G31622,G32432,G32617,G33256,G33276,G33329,G3407,G34681,G35041,G35061,G35084,G35175,G3837,G4036,G4194,G4195,G4681,G48,G4815,G5226,G5636,G588,G6107,G6430,G6796,G7014,G7323,G7771,G8099	0.008114	Ep
GO:0032185	septin cytoskeleton organization	6	3	0.26	0.00560	G11478,G13472,G15027	0.008114	Ep
GO:0002032	desensitization of G protein-coupled rec...	3	2	0.13	0.00561	G23864,G32110	0.008114	Ep
GO:0031929	TOR signaling	105	6	4.61	0.00583	G10474,G1203,G1206,G1454,G26154,G270	0.008114	Ep
GO:0071560	cellular response to transforming growth...	286	14	12.56	0.00595	G11178,G12687,G16734,G21582,G23019,G25232,G25702,G30478,G3170,G32134,G4730,G4930,G5592,G6988	0.008114	Ep
GO:0045648	positive regulation of erythrocyte diffe...	18	4	0.79	0.00690	G26542,G3454,G5163,G9197	0.008441	Ep
GO:0061580	colon epithelial cell migration	10	3	0.44	0.00803	G10879,G10882,G25150	0.008498	Ep
GO:0031103	axon regeneration	194	8	8.52	0.00812	G16992,G20200,G21127,G2916,G29887,G5213,G588,G9285	0.008498	Ep
