gene	baseMean	log2FoldChange	stat	pvalue	padj	Ch14_1	Ch14_2	Ch14_3	EP08_1	EP08_2	EP08_3	Se17_1	Se17_2	Se17_3	condition	transcript	name	uniprot_id	uniprot_taxa	identity_Blastx	evalue_Blastx	pfam	symbol_pfam	evalue_pfam
G34153	20.7284211274454	-22.0312701010861	-6.26577578953382	3.7097379194085e-10	2.17065290499026e-07	3.60818629716627	3.6077710864532	4.54371051406383	4.20874987500153	3.6101428717243	4.23100537653515	3.60802908516991	3.60779865785373	3.60838848234788	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G34156	38.561351508364	-8.59709388783885	-3.92204412532934	8.78009075039156e-05	0.00727254916854933	4.29434797736778	4.66067566493667	5.07480635922524	5.41767678412896	4.73317744272505	5.51737645317683	4.29402507679303	4.29355156937997	4.2947630637645	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G33297	32.8147903541172	11.4261489180959	3.33004434564355	0.000868321536707216	0.0470085443695809	5.02859097706977	4.25465464845065	4.25651304342108	4.25747000187812	4.25634495424593	4.25827085385868	4.80711964330253	4.25467421371016	5.1695108754415	Se	NA	NA	NA	NA	NA	NA	PF00041	fn3	1.4e-10
G33256	25.5903892895325	3.62861027877703	3.46274965974666	0.000534685616035838	0.0317476771155903	4.75200213938	4.47982082365791	4.68310440468901	4.22921623508006	4.22771278448795	4.23028418598059	4.76642037612927	4.67094469974114	4.62336722438014	Se	transcript:G33256.2	DDB1- and CUL4-associated factor 1	DCAF1	HUMAN	45.565	2.08e-146	PF08513	LisH	0.00041
G33259	75.1166720472339	4.47025859506558	4.05608344622564	4.99024372699474e-05	0.0046970669080338	5.75132027073295	6.51090295781305	5.85182900793723	4.9072358373739	4.90016050690537	4.91220127781136	6.53757889830266	6.29231359728128	5.66372775720638	Se	transcript:G33259.1	Galactoside alpha-(1,2)-fucosyltransferase 2	FUT2	BOVIN	26.882	2.59e-21	PF01531	Glyco_transf_11	1.2e-32
G35273	32.0076181263941	3.51769655267811	3.48277147074761	0.000496251791853621	0.029587675626136	5.19725919826018	4.83012260022991	4.96519080904106	4.43651357382321	4.4344583495571	4.43797112069893	4.90475095803506	5.026355029482	4.94899079830271	Se	transcript:G35273.2	E3 ubiquitin-protein ligase DTX3L	DTX3L	HUMAN	55.249	9.78e-62	PF18102	DTC	9.2e-53
G34681	47.2566852751839	3.89072035463667	4.05921349000246	4.92382813351774e-05	0.00466103639199171	5.5507065161191	5.63675416711115	5.4908851589751	4.75821009988438	4.7548267449178	4.76060326471617	5.70782570630287	5.24638846612306	5.60624701077961	Se	transcript:G34681.3	Tripartite motif-containing protein 2	TRIM2	MOUSE	25.954	8.66e-12	PF00643	zf-B_box	3.2e-06
G35310	316.656568760257	5.64832210284942	5.94635288656816	2.74182724068459e-09	1.05630488532979e-06	7.7495225409968	7.8516134835159	8.59777934727575	4.57152716524946	4.49905375596065	4.61794093029573	9.01420768327259	7.35685117164401	8.51149157362598	Se	transcript:G35310.1	Sacsin	SACS	HUMAN	27.532	0	PF05168	HEPN	6.7e-14
G35308	133.223822260112	10.2698617566467	4.07592282420147	4.5832218941392e-05	0.00449264224250355	7.13295081575476	6.91696516873585	7.28839735326653	4.23120015322527	4.20374978476049	4.24968991200056	4.1638536178251	4.15927982355299	7.03782208270501	Se	transcript:G35308.1	Sacsin	SACS	HUMAN	30.322	2.11e-92	PF05168	HEPN	1.3e-15
G35231	69.4872220192453	9.61699675305485	3.69644769403105	0.000218637279629828	0.0154174913331108	6.46654631511529	6.22420716694937	5.39915499536991	4.34079095984603	4.33175641727804	4.34707860937797	4.31926099607039	4.31787622088242	5.93064542424419	Se	NA	NA	NA	NA	NA	NA	PF02221	E1_DerP2_DerF2	0.00024
G35084	60.2650887163158	4.26641415415527	5.27196929212622	1.34967663940006e-07	3.72645720138355e-05	5.81566240151193	5.85928911702033	5.93731304363644	4.92818274972425	4.9234049278562	4.93155200860445	5.95476334628973	5.81386290775404	6.08777368612632	Se	transcript:G35084.1	Zinc finger protein 423	ZN423	MOUSE	30.299	1.93e-161	PF00096	zf-C2H2	0.00032
G34574	394.875662019689	12.6503965603552	3.70505697187077	0.000211343224436909	0.0152886980612307	10.8963272438697	1.56552599773679	1.99645491177027	2.1377044289887	1.96782336365432	2.23461443203094	11.3050570830341	1.57206130496914	1.69762727083646	Se	NA	NA	NA	NA	NA	NA	PF00307	CH	3.6e-09
G35161	61.1973458596926	4.08384967228081	4.65759089777308	3.19931177607625e-06	0.000552081238359159	6.00762521508844	5.71631802018656	6.06379382360886	4.92374882257528	4.91882633439426	4.92721891522297	5.7911598859897	5.85868751500026	6.08567433487363	Se	transcript:G35161.2	Protein broad-minded	BROMI	DANRE	49.84	0	PF14961	BROMI	0
G34685	58.1308015510578	3.57342271658863	4.12141424573638	3.76553637769843e-05	0.00387452643682933	5.90450858251275	5.83186811103714	6.14185727915915	4.87946117348224	4.87483773820585	4.88272203712646	5.69067737179895	5.5970228792019	5.81501176152525	Se	transcript:G34685.1	Zinc finger protein 362	ZN362	HUMAN	40.12	2.68e-28	PF00096	zf-C2H2	0.0039
G34699	89.0262718161008	12.1577428669612	3.56077354218793	0.000369763883911949	0.0235596480803283	6.1340199946995	3.74947544014663	3.77867138901002	3.79266509867177	3.77614464958601	3.80389566215961	6.17315393106995	6.10160198155663	3.75662714704682	Se	transcript:G34699.5	SAGA-associated factor 29	SGF29	RAT	67.918	1.49e-136	PF07039	DUF1325	5.2e-38
G35061	98.1137844727424	3.91380959542995	4.77279686453739	1.81685018370418e-06	0.000356637416594683	6.68995716089187	6.66346102127265	6.9418391842321	5.06138029297178	5.05111136874016	5.06854640256435	6.17017970826905	6.54727424377236	6.46545810960394	Se	transcript:G35061.3	PHD finger protein 12	PHF12	MOUSE	53.898	1.12e-81	PF16737	PHF12_MRG_bd	1.3e-16
G32902	40.2813120465735	-22.9209941186362	-6.52663611762967	6.72631901405815e-11	7.42854671912582e-08	4.60364091191426	3.39212735341686	3.3985995244386	3.40183053303806	4.70608357595755	3.40448394773555	3.3927772666972	3.39219690689973	3.39367914873808	Se	transcript:G32902.1	E3 ubiquitin-protein ligase RNF213	RN213	HUMAN	32.869	0	NA	NA	NA
G3783	49.9462001230633	4.36034063213218	4.33659602632781	1.44706224352294e-05	0.0017626494945736	5.76850616705095	5.45503367030346	5.19929394716315	4.75985645226525	4.75607770319915	4.76252610193882	5.55741486722786	5.66622503353425	5.86216437759979	Se	transcript:G3783.2	Forkhead box protein N4	FOXN4	DANRE	88.462	2.68e-44	PF00250	Forkhead	4.5e-14
G3838	34.9516123653307	3.7325984523711	3.70967378412186	0.000207526468998418	0.0151448611692855	5.01372819555149	4.98067778340437	5.29420105173315	4.51138808077058	4.50908620091288	4.51301967340132	5.26128157257339	4.98518157215102	5.06964625213989	Se	transcript:G3838.1	Ubiquitin carboxyl-terminal hydrolase MINDY-2	MINY2	HUMAN	63.415	3.02e-117	PF04424	MINDY_DUB	4.6e-36
G4194	50.7839033379024	3.73375708125764	4.06414451914293	4.82089502332088e-05	0.00464319459048451	5.70431807177186	5.83762974212129	5.58821206811742	4.80680366986346	4.80302440829561	4.8094741495137	5.57481195434483	5.3948086411858	5.77148187972052	Se	transcript:G4194.1	Zinc finger protein 264	ZN264	HUMAN	30.579	2.23e-16	PF10523	BEN	3.2e-13
G4368	70.1993488940098	-23.6634911450637	-6.74363152409393	1.54476009038041e-11	2.8433884063602e-08	5.32590157285829	3.26732696351427	3.28777965690491	3.29757569407722	3.28601017005604	5.34612607008787	3.26943410894303	3.26755306614202	3.27233772871836	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G4390	36.1512319008332	-21.2759004910625	-6.03149718141068	1.62447559047576e-09	6.83896472583191e-07	2.95447211585866	3.14616115251816	2.95935958565376	2.96224443022652	2.95884470729062	4.35177789733079	2.95411434215555	2.95358817797752	2.9549308046269	Se	transcript:G4390.2	EGF-like domain-containing protein 2	ELDP2	PINMA	42.151	1.68e-80	NA	NA	NA
G4434	67.0359434767242	4.1846881010758	5.20014832059525	1.99129557260249e-07	5.23615911995759e-05	5.91974502864351	6.04284580829897	6.23131733141055	4.98459891767151	4.9790442023099	4.98851041285967	6.11699717265244	6.04270876886096	6.05195038435227	Se	transcript:G4434.1	Homeobox protein TGIF2LX	TF2LX	PONPY	46.032	9.29e-12	NA	NA	NA
G4634	3426.64567900914	-1.42008863237808	-3.56416226015209	0.000365020112788587	0.0233471937778213	11.8748029009506	12.1598368544986	12.6779538158497	11.2390000872727	11.7622363388371	11.8819346236983	10.7860390030412	10.7406375724393	10.7707006113447	Se	transcript:G4634.7	Fatty acyl-CoA reductase 1	FACR1	MOUSE	45.565	1.23e-177	PF07993	NAD_binding_4	1.1e-74
G4650	40.1065759070229	3.89614207196557	3.55520973643175	0.000377677691855446	0.0239716806255836	5.00709495416175	5.49122316143672	5.24575950268231	4.59666540432193	4.593870867201	4.59864394145289	5.06004290894771	5.26970868858186	5.52624640008753	Se	transcript:G4650.1	Testis-expressed protein 49	TEX49	HUMAN	28.571	1.27e-08	NA	NA	NA
