gene,baseMean,stat,pvalue,padj,Ch14_1,Ch14_2,Ch14_3,EP08_1,EP08_2,EP08_3,Se17_1,Se17_2,Se17_3,cluster,name,uniprot,identity_Blastx,evalue_Blastx,pfam,symbol_pfam,evalue_pfam
G19965,231.169195721567,252.580199502507,1.42202279774048e-55,2.04557979454968e-51,4.73440884244935,4.72075729363715,4.80112014557234,7.9643872117332,7.52019764507364,7.82620353686374,7.92990060100576,7.8273575272379,8.06686606705371,1,Protein odr-4 homolog,ODR4_MOUSE,35.062,1.93e-70,PF14778,ODR4-like,9e-109
G26644,14999.830170103,214.605759179239,2.50582940892126e-47,1.80231780236662e-43,14.4861200320202,14.8766160403928,14.5178997982405,11.7039669580978,12.0015866421959,11.6521578261201,13.4148897654185,13.8187742486812,13.6340215069119,2,NA,NA,NA,NA,PF13499,EF-hand_7,4.7e-08
G22821,24801.6262934156,205.072250130603,2.94528067872814e-45,1.41226208545014e-41,15.2792838335393,15.1556986691434,15.2308684700809,13.2855699000406,13.1052121289988,12.976735814953,14.7025079309374,14.3195010953757,14.6092274299681,2,NA,NA,NA,NA,NA,NA,NA
G12284,122.121007477176,177.102381790946,3.48904385383186e-39,1.25474739593428e-35,7.0766021425063,7.21725701135541,7.24554419073308,5.03282454932402,5.01773142187136,5.04326503264894,6.65206258495725,6.51586884036276,6.45603663350379,2,E3 ubiquitin-protein ligase RNF216,RN216_MOUSE,39.056,4.65e-41,NA,NA,NA
G23924,159.486546892599,155.769125589447,1.49680130385747e-34,4.30629735119795e-31,7.39463069538729,7.17963259758224,7.65376093180314,5.04779359599683,5.02499592787455,5.06337478663547,7.20283824758774,7.18529020384746,7.30711014072723,2,NA,NA,NA,NA,NA,NA,NA
G34555,7118.93604390361,148.122868947071,6.84743134123362e-33,1.64167166406076e-29,13.6768950128613,13.6088164386691,13.5277591533524,10.1569334305356,10.8835125732505,10.1992221309048,12.3462595248513,12.6904638802399,12.2543862977804,2,Phospholipase B1, membrane-associated,PLB1_MONDO,43.636,4.09e-79,PF00657,Lipase_GDSL,5e-27
G34610,16615.7582622061,147.580311333608,8.98136973122647e-33,1.84567147976704e-29,14.6273252159672,14.6552021077874,14.4589818741827,12.949995561789,12.636404369233,12.6901463425726,14.2144347920952,13.8695208910828,13.957190126022,2,NA,NA,NA,NA,NA,NA,NA
G23481,124.371073732874,144.18724492804,4.89934004714429e-32,8.80962582227133e-29,7.1524259698056,6.88720179136437,7.21985053324926,5.09139457685385,5.0764008573831,5.10177227361008,6.92061773312531,6.78320002978105,6.74080973863089,2,Telomerase-binding protein EST1A,EST1A_MOUSE,46.517,0,PF10373,EST1_DNA_bind,4.7e-55
G22418,85.5110862127708,141.686485808381,1.71068688778899e-31,2.73424787564941e-28,6.47525051201908,6.53286067161221,6.59245826897352,5.06634893229578,5.05822007281698,5.0720437902118,6.34113613941767,6.29771832946293,6.25077081566966,2,5'-3' exoribonuclease 1,XRN1_HUMAN,55.112,0,PF18129,SH3_12,8.7e-17
G65,125.259672757001,138.710936421051,7.57360875855147e-31,1.08946361991763e-27,6.74665722870888,6.72926923282448,6.42580642699793,5.04482463710016,5.02922505526674,5.05560775347845,7.29283542134806,7.23295585965732,7.04481113590469,2,Regulator of chromosome condensation,RCC1_HUMAN,51.741,1.1e-137,PF00415,RCC1,3.2e-11
G5870,107.526136188771,136.899017630393,1.8739415148882e-30,2.45060442651516e-27,6.87835108214826,6.70087947261671,7.02231181082676,5.09618053191405,5.08442100437041,5.10436533655035,6.60304938300935,6.56299388920231,6.67940897167732,2,Cytochrome P450 2B4,CP2B4_RABIT,29.505,7.18e-53,PF00067,p450,1.6e-90
G10733,78.2979936432678,135.842843649389,3.1776151580089e-30,3.80916617066317e-27,6.40631496719915,6.40603064541263,6.34499232493939,5.04723244802595,5.04019658268456,5.052172486391,6.21637585684282,6.22437491628456,6.1642365284831,2,Ras GTPase-activating-like protein IQGAP1,IQGA1_HUMAN,52.494,0,PF00616,RasGAP,5.4e-52
G23388,2810.98152305557,132.066370443411,2.09967479900718e-29,2.32337092182449e-26,11.7185748416524,12.0075336485488,12.1741850454618,10.1566672521714,10.2362233359565,10.169912480985,11.4869000060688,11.6207202346804,11.3565845628516,2,Agrin,AGRIN_CHICK,29.6,2.37e-06,PF07648,Kazal_2,3.3e-10
G2014,98.0638427939325,128.858794576021,1.04392256559413e-28,1.07263043614797e-25,6.72221617451603,6.55778133783356,6.75412553950025,5.10115399161175,5.09114323105151,5.10814469505522,6.53265275785633,6.46883369117524,6.68812379032984,2,Rho GTPase-activating protein 45,HMHA1_XENLA,34.047,3.24e-76,PF00620,RhoGAP,1.3e-45
G4665,18736.0574991373,126.196198159598,3.95224402040856e-28,3.79020201557181e-25,13.8137616209868,13.63324322919,14.0314963648243,14.7068794158792,14.8467012664836,14.8396276160194,13.5099928061493,13.5362842493674,13.5469593091326,3,NA,NA,NA,NA,NA,NA,NA
G24949,189.389123988436,120.80875703802,5.84402044200224e-27,5.25413962863764e-24,7.65991209969399,7.784784966405,7.90798918838418,4.93518952238906,4.90384459051204,4.95633489309663,6.80895504433583,7.47998166935011,7.4699297075658,2,E3 ubiquitin-protein ligase MYCBP2,MYCB2_HUMAN,48.932,0,PF08005,PHR,4.2e-42
G28955,32911.7349532332,118.611431222744,1.75329488033514e-26,1.48359687374241e-23,15.4803634366243,15.6021649879552,15.9488288594494,14.0050816220747,14.0667318175808,14.0085214900782,14.4539697228368,14.758652533412,14.7405838244226,2,NA,NA,NA,NA,PF01607,CBM_14,2.2e-06
G30481,25350.7837458259,117.888040653674,2.51731307097926e-26,2.01175269589092e-23,11.3167661983551,11.7557117671125,10.9333755479377,15.855932302244,14.8419263043351,15.6778905802179,14.3396419651559,13.5980703326044,14.0637117926148,1,NPC intracellular cholesterol transporter 2,NPC2_PANTR,40.441,4.53e-30,PF02221,E1_DerP2_DerF2,5.9e-17
G15430,81.7333783719561,117.230840276756,3.4966042367831e-26,2.64729747084868e-23,6.41910546390002,6.25790232520096,6.49832066316589,5.06453715113526,5.05704850219597,5.06979098145946,6.30077044093828,6.36454151816182,6.31562644590588,2,U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2,U2AFM_HUMAN,53.093,4.12e-58,PF00642,zf-CCCH,5.2e-06
G25934,222.219394017413,117.09123647554,3.74939382434651e-26,2.69675150816123e-23,8.18508740123471,7.89704026665869,8.31933171178591,4.76659311240698,4.7237278905249,4.7950327807046,6.68108508333179,7.53066035869426,7.26801198077046,2,WD repeat-containing protein 87,WDR87_HUMAN,23.135,9.77e-40,PF00400,WD40,6.2e-05
G1635,1887.24421925326,114.464251709592,1.39445194910437e-25,9.55199585136493e-23,11.3027186845866,11.7546585743983,11.9714403361551,9.93710175058806,10.0249776707897,10.2780447075677,9.76822738866947,9.61302434799414,9.48601435107205,4,Heat shock protein beta-1,HSPB1_BOVIN,38.384,9.13e-18,PF00011,HSP20,6.1e-20
G21914,67.2343468128347,109.606588930435,1.58209159617078e-24,1.03447216413258e-21,5.98749569009711,5.99662214893065,6.11751494259961,4.99210944822657,4.98655246087486,4.9960226546048,6.10668154321097,6.14976139273911,6.11093699919908,2,Little elongation complex subunit 2,ICE2_HUMAN,33.537,1.46e-22,PF10505,NARG2_C,1.4e-44
G17833,10954.3937136431,108.50641334908,2.74240578069893e-24,1.71519596327626e-21,14.0514313928531,13.9898304916086,13.8952879730284,12.3931953782166,12.340895172169,12.2603276714179,13.3329550044055,13.6251241123462,13.085142923794,2,Ganglioside GM2 activator,SAP3_MOUSE,34.416,7.55e-23,PF02221,E1_DerP2_DerF2,9.6e-19
G21349,80.5198197147484,106.377186324825,7.95220357452444e-24,4.76635201748059e-21,6.15798527410694,6.33616748705905,6.41051377705521,5.05726393601101,5.04993009510922,5.06241048592399,6.43850325825528,6.27630003707096,6.39073787019091,2,Zinc finger protein 236,ZN236_HUMAN,36.933,2.79e-128,PF00096,zf-C2H2,4.2e-06
G13193,5248.96882215395,104.535905945617,1.99671666900762e-23,1.14891077134698e-20,11.1785038441516,11.5075459990649,11.6663306491154,13.0282744593562,12.9163299478664,13.2052967360089,12.0259470260678,11.8662555629526,11.8013041034712,1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NDUAD_MACFA,43.802,3.85e-24,PF06212,GRIM-19,1.5e-37
G24624,182.571074092388,102.880149041147,4.56940325812613e-23,2.52811022569786e-20,6.71726181727945,6.66207446338035,6.62559012880649,7.86881827209184,7.84777446469602,7.84459429854632,7.34867617127696,7.40791113046395,7.50098265480036,1,Cytochrome c oxidase assembly factor 5,COA5_BOVIN,40,6.23e-09,PF10203,Pet191_N,9.5e-17
G5904,69.0085053673678,102.246942268327,6.27131464364614e-23,3.34121707958703e-20,6.27725653309778,6.22400550540999,6.27341222561461,4.96581363397367,4.95990476427339,4.96997113641224,6.01473036075939,5.79515334370569,5.87399233249881,2,Ankyrin repeat and death domain-containing protein 1A,AKD1A_HUMAN,31.466,3.16e-15,PF12796,Ank_2,7.3e-07
